개념라벨,판정,큐레이션질의,규칙,폴더예시,코호트
Arousal Index,신규클래스,arousal|sleep arousal,psg-arousal,Measurements/Polysomnography/Arousals,SHHS
Arousal Index (Non-rapid eye movement sleep (NREM)),신규클래스,arousal|sleep arousal,psg-arousal,Measurements/Polysomnography/Arousals,SHHS
Arousal Index (NREM): Number of arousals per hour of NREM sleep from type II polysomnography,신규클래스,arousal|sleep arousal,psg-arousal,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,MESA
"Arousal Index (NREM, Non-Supine): Number of arousals per hour of NREM sleep in non-supine position from type II polysomnography",신규클래스,arousal|sleep arousal,psg-arousal,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,MESA
"Arousal Index (NREM, Supine): Number of arousals per hour of NREM sleep in supine position from type II polysomnography",신규클래스,arousal|sleep arousal,psg-arousal,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,MESA
Arousal Index (Rapid eye movement sleep (REM)),신규클래스,arousal|sleep arousal,psg-arousal,Measurements/Polysomnography/Arousals,SHHS
Arousal Index (REM): Number of arousals per hour of REM sleep from type II polysomnography,신규클래스,arousal|sleep arousal,psg-arousal,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,MESA
"Arousal Index (REM, Non-Supine): Number of arousals per hour of REM sleep in non-supine position from type II polysomnography",신규클래스,arousal|sleep arousal,psg-arousal,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,MESA
"Arousal Index (REM, Supine): Number of arousals per hour of REM sleep in supine position from type II polysomnography",신규클래스,arousal|sleep arousal,psg-arousal,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,MESA
Arousal Index: Number of arousals per hour of sleep from polysomnography,신규클래스,arousal|sleep arousal,psg-arousal,Harmonized/Polysomnography/Arousals,MESA
Arousal Index: Number of arousals per hour of sleep from type II polysomnography,신규클래스,arousal|sleep arousal,psg-arousal,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,MESA
"Arousals per hour (Non-rapid eye movement sleep (NREM), Non-supine, all oxygen desaturations)",신규클래스,arousal|sleep arousal,psg-arousal,Measurements/Polysomnography/Arousals,SHHS
"Arousals per hour (Non-rapid eye movement sleep (NREM), Supine, all oxygen desaturations)",신규클래스,arousal|sleep arousal,psg-arousal,Measurements/Polysomnography/Arousals,SHHS
"Arousals per hour (Rapid eye movement sleep (REM), Non-supine, all oxygen desaturations)",신규클래스,arousal|sleep arousal,psg-arousal,Measurements/Polysomnography/Arousals,SHHS
"Arousals per hour (Rapid eye movement sleep (REM), Supine, all oxygen desaturations)",신규클래스,arousal|sleep arousal,psg-arousal,Measurements/Polysomnography/Arousals,SHHS
Aspirin From 280804 (Anti-Inflam Agents),재질의,aspirin,med-aspirin,Medications,SHHS
Asthma attack in last 12 months,재질의,asthma attack|asthma,mh-asthma,Medical History,SHHS
Average oxygen saturation (SaO2) in sleep,재질의,oxygen saturation measurement|oxygen saturation,psg-sat,Measurements/Polysomnography/Oxygen Saturation,SHHS
Average oxygen saturation in sleep,재질의,oxygen saturation measurement|oxygen saturation,psg-sat,Harmonized/Polysomnography/Oxygen Saturation,MESA
Central Apnea Index - numer of [central apneas] per hour of sleep,신규클래스,apnea hypopnea index|apnea,psg-subindex,Measurements/Polysomnography/Respiratory Events/Indexes,SHHS
Central Apnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal) / hour of sleep,신규클래스,apnea hypopnea index|apnea,psg-subindex,Harmonized/Polysomnography/Apnea-Hypopnea Indices,MESA
Central Apnea-Hypopnea Index (AHI) >= 3% - number of [central apneas] and [hypopneas with >= 3% oxygen desaturation or arousal] per hour of sleep,신규클래스,apnea hypopnea index|apnea,psg-subindex,Measurements/Polysomnography/Respiratory Events/Indexes,SHHS
Central Apnea-Hypopnea Index (AHI) >= 3% - number of [central apneas] and [hypopneas with >= 3% oxygen desaturation] per hour of sleep,신규클래스,apnea hypopnea index|apnea,psg-subindex,Measurements/Polysomnography/Respiratory Events/Indexes,SHHS
Central Apnea-Hypopnea Index (AHI) >= 4% - number of [central apneas] and [hypopneas with >= 4% oxygen desaturation or arousal] per hour of sleep,신규클래스,apnea hypopnea index|apnea,psg-subindex,Measurements/Polysomnography/Respiratory Events/Indexes,SHHS
Central Apnea-Hypopnea Index (AHI) >= 4% - number of [central apneas] and [hypopneas with >= 4% oxygen desaturation] per hour of sleep,신규클래스,apnea hypopnea index|apnea,psg-subindex,Measurements/Polysomnography/Respiratory Events/Indexes,SHHS
Central Apnea-Hypopnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 3% oxygen desaturation and with or without arousal) / hour of sleep from type II polysomnography,신규클래스,apnea hypopnea index|apnea,psg-subindex,Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Apnea-Hypopnea Frequency Indices,MESA
Central Apnea-Hypopnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 3% oxygen desaturation or with arousal) / hour of sleep from type II polysomnography,신규클래스,apnea hypopnea index|apnea,psg-subindex,Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Apnea-Hypopnea Frequency Indices,MESA
Central Apnea-Hypopnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 4% oxygen desaturation and with or without arousal) / hour of sleep from type II polysomnography,신규클래스,apnea hypopnea index|apnea,psg-subindex,Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Apnea-Hypopnea Frequency Indices,MESA
Central Apnea-Hypopnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and >= 4% oxygen desaturation or with arousal) / hour of sleep from type II polysomnography,신규클래스,apnea hypopnea index|apnea,psg-subindex,Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Apnea-Hypopnea Frequency Indices,MESA
Chance of dozing while at dinner table,설문항목,Epworth sleepiness scale|excessive daytime somnolence,q-ess,Sleep Questionnaires/Hypersomnia,MESA
Chance of dozing while driving,설문항목,Epworth sleepiness scale|excessive daytime somnolence,q-ess,Sleep Questionnaires/Hypersomnia,MESA
Clock time when the recording (study) begins from type II polysomnography,관리변수,,admin-rec,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,MESA
Clock time when the recording (study) ends from type II polysomnography,관리변수,,admin-rec,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,MESA
Completed sleep health questionnaire form,관리변수,,admin-form,Interim,SHHS
CPAP or BiPAP Machine for Sleep Apnea: Self-reported,재질의,continuous positive airway pressure,tx-cpap,Sleep Treatment,MESA
Current snore frequency,설문항목,snoring,q-snore,Interim,SHHS
Days from baseline to first myocardial infarction (MI) or stroke,파생변수,myocardial infarction,cvd-mi,CVD Outcomes,SHHS
Days per month working extra hours beyong usual schedule,설문항목,shift work|work schedule,q-shift,Sociodemographics/Employment,MESA
Days to Fatal Cardiovascular Disease (CVD) Since Baseline,파생변수,cardiovascular disease,cvd-cvd,CVD Outcomes,SHHS
Days to Fatal Coronary Heart Disease (CHD) Since Baseline,파생변수,coronary heart disease|coronary arteriosclerosis,cvd-chd,CVD Outcomes,SHHS
Days to First Angina Episodes Since Baseline,파생변수,angina pectoris,cvd-angina,CVD Outcomes,SHHS
Days to Most Recent Contact or Death Since Baseline,관리변수,,admin-contact,CVD Outcomes,SHHS
Dental (Oral) Device for Sleep Apnea: Self-reported,재질의,mandibular advancement|oral appliance,tx-dental,Sleep Treatment,MESA
Digitalis preparations,재질의,digitalis|digoxin,med-digitalis,Medications,SHHS
Doctor of Medicine (MD) Reported Angina,파생변수,angina pectoris,cvd-angina,Medical History,SHHS
Doctor of Medicine (MD) Reported Coronary Angioplasty,파생변수,percutaneous transluminal coronary angioplasty|angioplasty,cvd-ptca,Medical History,SHHS
Doctor of Medicine (MD) Reported coronary artery bypass graft (CABG),파생변수,coronary artery bypass graft,cvd-cabg,Medical History,SHHS
Doctor of Medicine (MD) Reported Heart Failure,파생변수,congestive heart failure|heart failure,cvd-chf,Medical History,SHHS
Doctor of Medicine (MD) Reported myocardial infarction (MI),파생변수,myocardial infarction,cvd-mi,Medical History,SHHS
Doctor of Medicine (MD) Reported Other Heart Surgery,파생변수,cardiac surgery|heart surgery,cvd-surgery,Medical History,SHHS
Doctor of Medicine (MD) Reported Stroke,파생변수,cerebrovascular accident|stroke,cvd-stroke,Medical History,SHHS
Doppler Systolic blood pressure (BP),재질의,systolic blood pressure,bp-systolic,Questionnaires/SHHS2/Physical Measurements,SHHS
Ever smoked cigarettes,재질의,cigarette smoking|tobacco smoking,demo-smoke,Harmonized/Lifestyle and Behavioral Health,MESA
Experience desire to move legs because of discomfort or disagreeable sensations in legs,설문항목,restless legs syndrome,q-rls,Sleep Questionnaires/Parasomnia,MESA
Fatal Cardiovascular Disease (CVD) Since Baseline?,파생변수,cardiovascular disease,cvd-cvd,CVD Outcomes,SHHS
Fatal Coronary Heart Disease (CHD) Since Baseline?,파생변수,coronary heart disease|coronary arteriosclerosis,cvd-chd,CVD Outcomes,SHHS
Fatal Stroke Since Baseline?,파생변수,cerebrovascular accident|stroke,cvd-stroke,CVD Outcomes,SHHS
Feel need to move to relieve discomfort by walking or rub legs,설문항목,restless legs syndrome,q-rls,Sleep Questionnaires/Parasomnia,MESA
First Generation Sulfonylureas,재질의,sulfonylurea,med-sulfonyl,Medications,SHHS
Frequency of breathing stoppage during sleep,설문항목,apnea|sleep apnea syndrome,q-brstop,Interim,SHHS
Frequency of breathing-stop during sleep in the past 4 weeks,설문항목,apnea|sleep apnea syndrome,q-brstop,Sleep Questionnaires/Sleep Disordered Breathing,MESA
Frequency of irritability due to sleep difficulties in the last 4 weeks,설문항목,irritability,q-irrit,Sleep Questionnaires/Sleep Disturbance or Insomnia,MESA
Frequency of snoring in the past 4 weeks,설문항목,snoring,q-snore,Sleep Questionnaires/Sleep Disordered Breathing,MESA
Frequency of taking sleeping pills to help with sleep in the last 4 weeks,설문항목,hypnotic|sedative,q-pills,Sleep Questionnaires/Sleep Disturbance or Insomnia,MESA
Functional Outcomes of Sleep Questionnaire (FOSQ) Score,설문항목,excessive daytime somnolence|sleepiness,q-fosq,Questionnaires/SHHS2/FOSQ,SHHS
Gender of the participant,재질의,gender|administrative gender,demo-gender,Administrative,MESA
Have ever snored,설문항목,snoring,q-snore,Interim,SHHS
Hmg Coa Reducatace Inhibitors (Statins),재질의,HMG-CoA reductase inhibitor|statin,med-statin,Medications,SHHS
Horne-Ostberg Morningness-Eveningness Questionnaire: Ideal scheduled wake time,설문항목,chronotype|morning person,q-meq,Sleep Questionnaires/Chronotype,MESA
Horne-Ostberg Morningness-Eveningness Questionnaire: Morning or evening type,설문항목,chronotype|morning person,q-meq,Sleep Questionnaires/Chronotype,MESA
"Horne-Ostberg Morningness-Eveningness Questionnaire: Time of day reaching ""feeling best"" peak",설문항목,chronotype|morning person,q-meq,Sleep Questionnaires/Chronotype,MESA
