개념라벨,판정,큐레이션질의,규칙,폴더예시,코호트
Number of myocardial infarctions (MIs) Prior to Baseline,파생변수,myocardial infarction,cvd-mi,CVD Outcomes,SHHS
Number of Procedures Related to Heart Attack Prior to Baseline,파생변수,revascularization|percutaneous coronary intervention,cvd-revasc,CVD Outcomes,SHHS
Number of Procedures Related to Heart Attack Since Baseline,파생변수,revascularization|percutaneous coronary intervention,cvd-revasc,CVD Outcomes,SHHS
Number of Revascularization Procedures Prior to Baseline,파생변수,revascularization|percutaneous coronary intervention,cvd-revasc,CVD Outcomes,SHHS
Number of sleep to awake shifts per hour,신규클래스,sleep fragmentation|arousal,psg-shift,Measurements/Polysomnography/Sleep Architecture,SHHS
Number of Strokes Prior to Baseline,파생변수,cerebrovascular accident|stroke,cvd-stroke,CVD Outcomes,SHHS
Obstructive Apnea Hypopnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal+ hypopneas with > 30% flow reduction and no oxygen desaturation threshold used and with or without arousal) / hour of sleep from type II polysomnography,신규클래스,apnea hypopnea index|apnea,psg-subindex,Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Apnea-Hypopnea Frequency Indices,MESA
Obstructive Apnea Index - number of [obstructive apneas] per hour of sleep,신규클래스,apnea hypopnea index|apnea,psg-subindex,Measurements/Polysomnography/Respiratory Events/Indexes,SHHS
Obstructive Apnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal) / hour of sleep,신규클래스,apnea hypopnea index|apnea,psg-subindex,Harmonized/Polysomnography/Apnea-Hypopnea Indices,MESA
Obstructive Apnea-Hypopnea Index (AHI) >= 3% - number of [obstructive apneas] and [hypopneas with >= 3% oxygen desaturation or arousal] per hour of sleep,신규클래스,apnea hypopnea index|apnea,psg-subindex,Measurements/Polysomnography/Respiratory Events/Indexes,SHHS
Obstructive Apnea-Hypopnea Index (AHI) >= 3% - number of [obstructive apneas] and [hypopneas with >= 3% oxygen desaturation] per hour of sleep,신규클래스,apnea hypopnea index|apnea,psg-subindex,Measurements/Polysomnography/Respiratory Events/Indexes,SHHS
Obstructive Apnea-Hypopnea Index (AHI) >= 4% - number of [obstructive apneas] and [hypopneas with >= 4% oxygen desaturation or arousal] per hour of sleep,신규클래스,apnea hypopnea index|apnea,psg-subindex,Measurements/Polysomnography/Respiratory Events/Indexes,SHHS
Obstructive Apnea-Hypopnea Index (AHI) >= 4% - number of [obstructive apneas] and [hypopneas with >= 4% oxygen desaturation] per hour of sleep,신규클래스,apnea hypopnea index|apnea,psg-subindex,Measurements/Polysomnography/Respiratory Events/Indexes,SHHS
Obstructive Apnea-Hypopnea Index (OAHI) at >=4% oxygen desaturation,신규클래스,apnea hypopnea index|apnea,psg-subindex,Measurements/Polysomnography/Respiratory Events/Indexes,SHHS
Obstructive Apnea-Hypopnea Index for non-supine sleep: (Obstructive apneas + hypopneas with >= 3% oxygen desaturation) / hour of sleep in non-supine position,신규클래스,apnea hypopnea index|apnea,psg-subindex,Harmonized/Polysomnography/Apnea-Hypopnea Indices,MESA
Obstructive Apnea-Hypopnea Index for NREM sleep: (Obstructive apneas + hypopneas with >= 3% oxygen desaturation) / hour of NREM sleep,신규클래스,apnea hypopnea index|apnea,psg-subindex,Harmonized/Polysomnography/Apnea-Hypopnea Indices,MESA
