개념라벨,판정,매핑유형,최종ID,최종라벨,출처,결정근거,후보순위
Women's Health Initiative Insomnia Rating Scale: Typical night sleep,설문항목,관련(광의),SNOMED:193462001,Insomnia,snomed,정확일치,1
Women's Health Initiative Insomnia Rating Scale: Wake earlier than planned,설문항목,관련(광의),HP:0100785,Insomnia,hp,포함일치,2
Women's Health Initiative Insomnia Rating Scale: Wake several times at night,설문항목,관련(광의),HP:0031355,Maintenance insomnia,hp,포함일치,2
Self-reported daily sleep duration on weekdays from survey questionnaires,설문항목,관련(광의),NBO:0000160,sleep duration,mondo,정확일치,1
Self-reported daily sleep duration on weekends from survey questionnaires,설문항목,관련(광의),NBO:0000160,sleep duration,mondo,정확일치,1
Self-reported end time of the in-bed period on weekdays in 24-hour format from survey questionnaires,설문항목,관련(광의),SNOMED:21029003,Bedtime,snomed,정확일치,1
Self-reported end time of the in-bed period on weekends in 24-hour format from survey questionnaires,설문항목,관련(광의),SNOMED:21029003,Bedtime,snomed,정확일치,1
Self-reported start time of the in-bed period on weekdays in 24-hour format,설문항목,관련(광의),SNOMED:21029003,Bedtime,snomed,정확일치,1
Self-reported start time of the in-bed period on weekends in 24-hour format,설문항목,관련(광의),SNOMED:21029003,Bedtime,snomed,정확일치,1
Days per month working extra hours beyong usual schedule,설문항목,관련(광의),SNOMED:266961004,Shift worker,snomed,큐레이션질의-1순위,1
Central Apnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal) / hour of sleep,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Obstructive Apnea Index: (Obstructive apneas with no oxygen desaturation threshold used and with or without arousal) / hour of sleep,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Obstructive Apnea-Hypopnea Index for NREM sleep: (Obstructive apneas + hypopneas with >= 3% oxygen desaturation) / hour of NREM sleep,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Obstructive Apnea-Hypopnea Index for NREM sleep: (Obstructive apneas + hypopneas with >= 4% oxygen desaturation) / hour of NREM sleep,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Obstructive Apnea-Hypopnea Index for REM sleep: (Obstructive apneas + hypopneas with >= 3% oxygen desaturation) / hour of REM sleep,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Obstructive Apnea-Hypopnea Index for REM sleep: (Obstructive apneas + hypopneas with >= 4% oxygen desaturation) / hour of REM sleep,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Obstructive Apnea-Hypopnea Index for non-supine sleep: (Obstructive apneas + hypopneas with >= 3% oxygen desaturation) / hour of sleep in non-supine position,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Obstructive Apnea-Hypopnea Index for supine sleep: (Obstructive apneas + hypopneas with >= 3% oxygen desaturation) / hour of sleep in supine position,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Obstructive Apnea-Hypopnea Index: (Obstructive apneas + hypopneas with >= 3% oxygen desaturation) / hour of sleep,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Obstructive Apnea-Hypopnea Index: (Obstructive apneas + hypopneas with >= 4% oxygen desaturation) / hour of sleep,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Arousal Index: Number of arousals per hour of sleep from polysomnography,신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
"Percentage of total sleep duration (i.e., total sleep time, TST) in REM from polysomnography",신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
"Percentage of total sleep duration (i.e., total sleep time, TST) in stage 1 from polysomnography",신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
"Percentage of total sleep duration (i.e., total sleep time, TST) in stage 2 from polysomnography",신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
"Percentage of total sleep duration (i.e., total sleep time, TST) in stage 3/4 from polysomnography",신규클래스,관련(광의),HP:5200298,Abnormal sleep architecture,hp,수동큐레이션,1
REM Sleep Latency: the interval between the first sleep epoch and REM sleep excluding wake,신규클래스,관련(광의),OBA:2040172,sleep latency,efo,정확일치,1
REM Sleep Latency: the interval between the first sleep epoch and REM sleep including wake,신규클래스,관련(광의),OBA:2040172,sleep latency,efo,정확일치,1
"Sleep Maintenance Efficiency: the proportion of total sleep duration (i.e., total sleep time) in sleep period (i.e., interval between sleep onset and offset including wake) from polysomnography",신규클래스,관련(광의),EFO:0803364,sleep efficiency,efo,정확일치,1
Total In-bed Period: the interval between lights off/in-bed time and lights on/out-bed time from polysomnography,신규클래스,관련(광의),NBO:0000160,sleep duration,mondo,정확일치,1
Arousal Index,신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
Arousal Index (Non-rapid eye movement sleep (NREM)),신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
Arousal Index (Rapid eye movement sleep (REM)),신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
"Arousals per hour (Non-rapid eye movement sleep (NREM), Non-supine, all oxygen desaturations)",신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
"Arousals per hour (Non-rapid eye movement sleep (NREM), Supine, all oxygen desaturations)",신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
"Arousals per hour (Rapid eye movement sleep (REM), Non-supine, all oxygen desaturations)",신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
"Arousals per hour (Rapid eye movement sleep (REM), Supine, all oxygen desaturations)",신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
"Number of Arousals (Non-rapid eye movement sleep (NREM), Non-supine, all oxygen desaturations)",신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
"Number of Arousals (Non-rapid eye movement sleep (NREM), Supine, all oxygen desaturations)",신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
"Number of Arousals (Rapid eye movement sleep (REM), Non-supine, all oxygen desaturations)",신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
"Number of Arousals (Rapid eye movement sleep (REM), Supine, all oxygen desaturations)",신규클래스,관련(광의),HP:0025199,Fragmented sleep,hp,수동큐레이션,1
Central Apnea Index - numer of [central apneas] per hour of sleep,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Central Apnea-Hypopnea Index (AHI) >= 3% - number of [central apneas] and [hypopneas with >= 3% oxygen desaturation or arousal] per hour of sleep,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Central Apnea-Hypopnea Index (AHI) >= 3% - number of [central apneas] and [hypopneas with >= 3% oxygen desaturation] per hour of sleep,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Central Apnea-Hypopnea Index (AHI) >= 4% - number of [central apneas] and [hypopneas with >= 4% oxygen desaturation or arousal] per hour of sleep,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Central Apnea-Hypopnea Index (AHI) >= 4% - number of [central apneas] and [hypopneas with >= 4% oxygen desaturation] per hour of sleep,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Obstructive Apnea Index - number of [obstructive apneas] per hour of sleep,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Obstructive Apnea-Hypopnea Index (AHI) >= 3% - number of [obstructive apneas] and [hypopneas with >= 3% oxygen desaturation or arousal] per hour of sleep,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Obstructive Apnea-Hypopnea Index (AHI) >= 3% - number of [obstructive apneas] and [hypopneas with >= 3% oxygen desaturation] per hour of sleep,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Obstructive Apnea-Hypopnea Index (AHI) >= 4% - number of [obstructive apneas] and [hypopneas with >= 4% oxygen desaturation or arousal] per hour of sleep,신규클래스,관련(광의),SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
