개념라벨,판정,매핑유형,최종ID,최종라벨,출처,결정근거,후보순위
Neck circumference (measurement 1),자동매핑후보,등가,SNOMED:420236003,Neck circumference,snomed,정확일치,1
Neck circumference (measurement 2),자동매핑후보,등가,SNOMED:420236003,Neck circumference,snomed,정확일치,1
Neck circumference (measurement 3),자동매핑후보,등가,SNOMED:420236003,Neck circumference,snomed,정확일치,1
Waist Circumference,자동매핑후보,등가,SNOMED:276361009,Waist circumference,snomed,정확일치,1
Weight,자동매핑후보,등가,SNOMED:726527001,Weight,snomed,정확일치,1
Ankle-arm Blood Pressure (BP) Index,자동매핑후보,등가,SNOMED:401221002,Ankle brachial pressure index,snomed,정확일치,1
Average Diastolic blood pressure (BP),자동매핑후보,등가,SNOMED:314453003,Average diastolic blood pressure,snomed,정확일치,1
Average Systolic blood pressure (BP),자동매핑후보,등가,SNOMED:314440001,Average systolic blood pressure,snomed,정확일치,1
Diastolic blood pressure (BP) (measurement 1),자동매핑후보,등가,SNOMED:271650006,Diastolic blood pressure,snomed,정확일치,1
Diastolic blood pressure (BP) (measurement 2),자동매핑후보,등가,SNOMED:271650006,Diastolic blood pressure,snomed,정확일치,1
Diastolic blood pressure (BP) (measurement 3),자동매핑후보,등가,SNOMED:271650006,Diastolic blood pressure,snomed,정확일치,1
Diastolic blood pressure (BP): reading 1 of 3,자동매핑후보,등가,SNOMED:271650006,Diastolic blood pressure,snomed,정확일치,1
Diastolic blood pressure (BP): reading 2 of 3,자동매핑후보,등가,SNOMED:271650006,Diastolic blood pressure,snomed,정확일치,1
Diastolic blood pressure (BP): reading 3 of 3,자동매핑후보,등가,SNOMED:271650006,Diastolic blood pressure,snomed,정확일치,1
Systolic blood pressure (BP) (measurement 1),자동매핑후보,등가,SNOMED:271649006,Systolic blood pressure,snomed,정확일치,1
Systolic blood pressure (BP) (measurement 2),자동매핑후보,등가,SNOMED:271649006,Systolic blood pressure,snomed,정확일치,1
Systolic blood pressure (BP) (measurement 3),자동매핑후보,등가,SNOMED:271649006,Systolic blood pressure,snomed,정확일치,1
Systolic blood pressure (BP): reading 1 of 3,자동매핑후보,등가,SNOMED:271649006,Systolic blood pressure,snomed,정확일치,1
Systolic blood pressure (BP): reading 2 of 3,자동매핑후보,등가,SNOMED:271649006,Systolic blood pressure,snomed,정확일치,1
Systolic blood pressure (BP): reading 3 of 3,자동매핑후보,등가,SNOMED:271649006,Systolic blood pressure,snomed,정확일치,1
Cholesterol,자동매핑후보,등가,SNOMED:84698008,Cholesterol,snomed,정확일치,1
High-density lipoprotein (HDL) cholesterol,자동매핑후보,등가,CHEBI:47775,high-density lipoprotein cholesterol,efo,정확일치,1
Forced Expiratory Volume (FEV 1),자동매핑후보,등가,EFO:0004314,forced expiratory volume,efo,정확일치,1
Forced Vital Capacity (FVC),자동매핑후보,등가,SNOMED:50834005,Forced vital capacity,snomed,정확일치,1
Apnea-Hypopnea Index (AHI) >= 3% - number of [all apneas] and [hypopneas with >= 3% oxygen desaturation or arousal] per hour of sleep,자동매핑후보,등가,SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Apnea-Hypopnea Index (AHI) >= 3% - number of [all apneas] and [hypopneas with >= 3% oxygen desaturation] per hour of sleep,자동매핑후보,등가,SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Apnea-Hypopnea Index (AHI) >= 4% - number of [all apneas] and [hypopneas with >= 4% oxygen desaturation or arousal] per hour of sleep,자동매핑후보,등가,SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Apnea-Hypopnea Index (AHI) >= 4% - number of [all apneas] and [hypopneas with >= 4% oxygen desaturation] per hour of sleep,자동매핑후보,등가,SNOMED:716202005,Apnea Hypopnea Index,snomed,정확일치,1
Number of rapid eye movement sleep (REM) to stage 1 shifts during sleep,자동매핑후보,등가,SNOMED:89129007,Rapid eye movement sleep,snomed,정확일치,1
Number of rapid eye movement sleep (REM) to stage 1 shifts per hour of sleep,자동매핑후보,등가,SNOMED:89129007,Rapid eye movement sleep,snomed,정확일치,1
Number of rapid eye movement sleep (REM) to stage 2 shifts during sleep,자동매핑후보,등가,SNOMED:89129007,Rapid eye movement sleep,snomed,정확일치,1
Number of rapid eye movement sleep (REM) to stage 2 shifts per hour of sleep,자동매핑후보,등가,SNOMED:89129007,Rapid eye movement sleep,snomed,정확일치,1
Number of rapid eye movement sleep (REM) to stage 3/4 shifts during sleep,자동매핑후보,등가,SNOMED:89129007,Rapid eye movement sleep,snomed,정확일치,1
Number of rapid eye movement sleep (REM) to stage 3/4 shifts per hour of sleep,자동매핑후보,등가,SNOMED:89129007,Rapid eye movement sleep,snomed,정확일치,1
Sleep Efficiency,자동매핑후보,등가,EFO:0803364,sleep efficiency,efo,정확일치,1
Sleep latency,자동매핑후보,등가,OBA:2040172,sleep latency,efo,정확일치,1
Wake After Sleep Onset,자동매핑후보,등가,EFO:0803363,wake after sleep onset,efo,정확일치,1
Cigarette pack-years,자동매핑후보,등가,SNOMED:401201003,Cigarette pack-years,snomed,정확일치,1
History of Asthma,자동매핑후보,등가,HP:0002099,Asthma,hp,정확일치,1
History of Chronic Bronchitis,자동매핑후보,등가,SNOMED:63480004,Chronic bronchitis,snomed,정확일치,1
History of Emphysema,자동매핑후보,등가,SNOMED:49158009,Emphysema,snomed,정확일치,1
History of Sleep Apnea,자동매핑후보,등가,SNOMED:73430006,Sleep apnea (disorder),snomed,정확일치,1
History of chronic obstructive pulmonary disease (COPD),자동매핑후보,등가,MONDO:0005002,chronic obstructive pulmonary disease,mondo,정확일치,1
Hypertension (HTN),자동매핑후보,등가,HP:0000822,Hypertension,hp,정확일치,1
Alpha-Glucosidase Inhibitors,자동매핑후보,등가,SNOMED:741013008,Alpha-glucosidase inhibitor,snomed,포함일치,1
Amlodipine,자동매핑후보,등가,SNOMED:386864001,Amlodipine,snomed,정확일치,1
Angiotensin Type 2 Antagonists,자동매핑후보,등가,SNOMED:734629003,Angiotensin II receptor antagonist,snomed,정확일치,1
"Anti-Arrhythmics, Class 1A",자동매핑후보,등가,SNOMED:372813008,Antiarrhythmic agent,snomed,정확일치,1
"Anti-Arrhythmics, Class 1B",자동매핑후보,등가,SNOMED:372813008,Antiarrhythmic agent,snomed,정확일치,1
"Anti-Arrhythmics, Class 1C",자동매핑후보,등가,SNOMED:372813008,Antiarrhythmic agent,snomed,정확일치,1
"Anti-Arrhythmics, Class 3",자동매핑후보,등가,SNOMED:372813008,Antiarrhythmic agent,snomed,정확일치,1
Any Calcium-Channel Blocker (Ccir Or Ccbsr Or Ccbt),자동매핑후보,등가,SNOMED:734574004,Calcium channel blocker,snomed,정확일치,1
Any Diuretic,자동매핑후보,등가,SNOMED:372695000,Diuretic,snomed,정확일치,1
Any calcium-channel blocker = CCIR or CCBSR or CCBT,자동매핑후보,등가,SNOMED:734574004,Calcium channel blocker,snomed,정확일치,1
Loop diuretics,자동매핑후보,등가,SNOMED:372691009,Loop diuretic,snomed,포함일치,1
Niacin and nicotinic acid,자동매핑후보,등가,SNOMED:273943001,Nicotinic acid (substance),snomed,포함일치,1
T-Type Calcium-Channel Blocker,자동매핑후보,등가,SNOMED:734574004,Calcium channel blocker,snomed,정확일치,1
angiotensin-converting-enzyme inhibitor (ACE) inhibitors with diuretics,자동매핑후보,등가,SNOMED:734579009,Angiotensin-converting enzyme inhibitor,snomed,포함일치,3
angiotensin-converting-enzyme inhibitor (ACE) inhibitors without diuretics,자동매핑후보,등가,SNOMED:734579009,Angiotensin-converting enzyme inhibitor,snomed,포함일치,3
Physical Measurements: Max inflation level Ankle-arm Blood Pressure Index (AAI BP),자동매핑후보,등가,SNOMED:401221002,Ankle brachial pressure index,snomed,정확일치,1
Insomnia: Self-reported diagnosis by a physician,자동매핑후보,등가,SNOMED:193462001,Insomnia,snomed,정확일치,1
Restless Legs: Self-reported diagnosis by a physician,자동매핑후보,등가,HP:0012452,Restless legs,hp,정확일치,1
Sleep Apnea: Self-reported diagnosis by a physician,자동매핑후보,등가,SNOMED:73430006,Sleep apnea (disorder),snomed,정확일치,1
Epworth Sleepiness Scale: Total score,자동매핑후보,등가,SNOMED:708735004,Epworth Sleepiness Scale,snomed,정확일치,1
Epworth Sleepiness Scale: Chance of dozing as a passenger in a car for an hour without a break,자동매핑후보,등가,SNOMED:708735004,Epworth Sleepiness Scale,snomed,정확일치,1
"Epworth Sleepiness Scale: Chance of dozing while in a car, while stopped for a few minutes in traffic",자동매핑후보,등가,SNOMED:708735004,Epworth Sleepiness Scale,snomed,정확일치,1
Epworth Sleepiness Scale: Chance of dozing while lying down in the afternoon when circumstances permit,자동매핑후보,등가,SNOMED:708735004,Epworth Sleepiness Scale,snomed,정확일치,1
Epworth Sleepiness Scale: Chance of dozing while sitting and reading,자동매핑후보,등가,SNOMED:708735004,Epworth Sleepiness Scale,snomed,정확일치,1
Epworth Sleepiness Scale: Chance of dozing while sitting and talking to someone,자동매핑후보,등가,SNOMED:708735004,Epworth Sleepiness Scale,snomed,정확일치,1
Epworth Sleepiness Scale: Chance of dozing while sitting quietly after lunch without alcohol,자동매핑후보,등가,SNOMED:708735004,Epworth Sleepiness Scale,snomed,정확일치,1
"Epworth Sleepiness Scale: Chance of dozing while sitting, inactive in a public place",자동매핑후보,등가,SNOMED:708735004,Epworth Sleepiness Scale,snomed,정확일치,1
Epworth Sleepiness Scale: Chance of dozing while watching TV,자동매핑후보,등가,SNOMED:708735004,Epworth Sleepiness Scale,snomed,정확일치,1
Sleep Efficiency: the proportion of total sleep duration in in-bed period from type II polysomnography,자동매핑후보,등가,EFO:0803364,sleep efficiency,efo,정확일치,1
Sleep Latency: the interval between lights-out/in-bed time and sleep onset time from type II polysomnography,자동매핑후보,등가,OBA:2040172,sleep latency,efo,정확일치,1
Wake after Sleep Onset: the total duration between sleep onset and sleep offset time while being awake from type II polysomnography,자동매핑후보,등가,EFO:0803363,wake after sleep onset,efo,정확일치,1
Gender of the participant,재질의,등가,SNOMED:263495000,Gender,snomed,정확일치,1
Participant Age at MESA Sleep Visit,재질의,등가,SNOMED:397669002,Age,snomed,정확일치,1
Race/ethnicity of the participant,재질의,등가,SNOMED:103579009,Race,snomed,정확일치,1
Ever smoked cigarettes,재질의,등가,SNOMED:102408007,Cigarette smoke,snomed,큐레이션질의-1순위,1
Average oxygen saturation in sleep,재질의,등가,SNOMED:104847001,Oxygen saturation measurement,snomed,정확일치,1
Minimum oxygen saturation in sleep,재질의,등가,SNOMED:104847001,Oxygen saturation measurement,snomed,정확일치,1
Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from polysomnography,재질의,등가,NBO:0000160,sleep duration,mondo,정확일치,1
Subject race,재질의,등가,SNOMED:103579009,Race,snomed,정확일치,1
Smoked cigarettes in last 30 days,재질의,등가,SNOMED:102408007,Cigarette smoke,snomed,큐레이션질의-1순위,1
Weight at Blood Pressure (BP) measurement,재질의,등가,SNOMED:27113001,Body weight,snomed,정확일치,1
Supine ankle systolic blood pressure (BP),재질의,등가,SNOMED:271649006,Systolic blood pressure,snomed,정확일치,1
Supine arm systolic blood pressure (BP),재질의,등가,SNOMED:271649006,Systolic blood pressure,snomed,정확일치,1
Average oxygen saturation (SaO2) in sleep,재질의,등가,SNOMED:104847001,Oxygen saturation measurement,snomed,정확일치,1
Minimum oxygen saturation (SaO2) in sleep,재질의,등가,SNOMED:104847001,Oxygen saturation measurement,snomed,정확일치,1
Polysomnography (PSG) Report: Sleep Efficiency,재질의,등가,EFO:0803364,sleep efficiency,efo,정확일치,1
Polysomnography (PSG) Report: Sleep Latency,재질의,등가,OBA:2040172,sleep latency,efo,정확일치,1
Asthma attack in last 12 months,재질의,등가,HP:0012652,Exercise-induced asthma,hp,큐레이션질의-1순위,1
Previous history of stroke,재질의,등가,SNOMED:275526006,History of cerebrovascular accident,snomed,정확일치,1
Runny or stuffy nose,재질의,등가,HP:0001742,Nasal congestion,hp,정확일치,1
Self-reported hypertension (HTN),재질의,등가,SNOMED:59621000,Essential hypertension,snomed,정확일치,1
Sinus trouble,재질의,등가,HP:0000246,Sinusitis,hp,정확일치,1
Aspirin From 280804 (Anti-Inflam Agents),재질의,등가,SNOMED:387458008,Aspirin,snomed,정확일치,1
Digitalis preparations,재질의,등가,SNOMED:65774009,Digitalis,snomed,정확일치,1
First Generation Sulfonylureas,재질의,등가,SNOMED:372711004,Sulfonylurea,snomed,정확일치,1
Hmg Coa Reducatace Inhibitors (Statins),재질의,등가,SNOMED:372912004,HMG-CoA reductase inhibitor,snomed,정확일치,2
Immediate-Release Ccbs (Nifir Or Dihir Or Verir Or Dltir),재질의,등가,SNOMED:734574004,Calcium channel blocker,snomed,정확일치,1
Immediate-release CCBS = NFIR or DIHIR or VERIR or DLTIR,재질의,등가,SNOMED:734574004,Calcium channel blocker,snomed,정확일치,1
K-Channel Blockers To Enhance Insulin Secretion For Diabetics,재질의,등가,SNOMED:372711004,Sulfonylurea,snomed,정확일치,1
Miscellaneous Lipid-Lowering Drugs,재질의,등가,CHEBI:35679,antilipemic drug,efo,수동큐레이션,1
"Non-Steroidal Anti-Inflammatory Agents, Excluding Aspirin",재질의,등가,SNOMED:372665008,Non-steroidal anti-inflammatory agent,snomed,정확일치,1
Second Generation Sulfonylureas,재질의,등가,SNOMED:372711004,Sulfonylurea,snomed,정확일치,1
Slow-Release Ccbs (Nifsr Or Dihsr Or Versr Or Dltsr Or Amlod),재질의,등가,SNOMED:734574004,Calcium channel blocker,snomed,정확일치,1
Slow-release CCBS = NIFSR or DIHSR or VERSR or DLTSR or AMLOD,재질의,등가,SNOMED:734574004,Calcium channel blocker,snomed,정확일치,1
Thiazide diuretics with k-sparing agents,재질의,등가,SNOMED:372747003,Thiazide diuretic,snomed,정확일치,1
Thiazide diuretics without k-sparing agents,재질의,등가,SNOMED:372747003,Thiazide diuretic,snomed,정확일치,1
"Vasodilators with diuretics, a mixed group",재질의,등가,SNOMED:372787008,Vasodilator,snomed,정확일치,1
Doppler Systolic blood pressure (BP),재질의,등가,SNOMED:271649006,Systolic blood pressure,snomed,정확일치,1
CPAP or BiPAP Machine for Sleep Apnea: Self-reported,재질의,등가,EFO:0010719,continuous positive airway pressure,efo,정확일치,1
Dental (Oral) Device for Sleep Apnea: Self-reported,재질의,등가,SNOMED:272244007,Dental appliances,snomed,수동큐레이션,1
Throat/Uvula Surgery for Sleep Apnea: Self-reported,재질의,등가,SNOMED:8335001,Uvulopalatopharyngoplasty,snomed,정확일치,1
Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from type II polysomnography,재질의,등가,NBO:0000160,sleep duration,mondo,정확일치,1
Days from baseline to first myocardial infarction (MI) or stroke,파생변수,관련(광의),MONDO:0005068,myocardial infarction,mondo,정확일치,1
Days to Fatal Cardiovascular Disease (CVD) Since Baseline,파생변수,관련(광의),MONDO:0004995,cardiovascular disorder,mondo,큐레이션질의-1순위,1
Days to Fatal Coronary Heart Disease (CHD) Since Baseline,파생변수,관련(광의),SNOMED:53741008,Coronary arteriosclerosis,snomed,수동큐레이션,1
Days to First Angina Episodes Since Baseline,파생변수,관련(광의),HP:0001681,Angina pectoris,hp,정확일치,1
Fatal Cardiovascular Disease (CVD) Since Baseline?,파생변수,관련(광의),MONDO:0004995,cardiovascular disorder,mondo,큐레이션질의-1순위,1
Fatal Coronary Heart Disease (CHD) Since Baseline?,파생변수,관련(광의),SNOMED:53741008,Coronary arteriosclerosis,snomed,수동큐레이션,1
Fatal Stroke Since Baseline?,파생변수,관련(광의),SNOMED:230690007,Cerebrovascular accident,snomed,정확일치,1
Number of Angina Episodes Prior to Baseline,파생변수,관련(광의),HP:0001681,Angina pectoris,hp,정확일치,1
Number of Angina Episodes Since Baseline,파생변수,관련(광의),HP:0001681,Angina pectoris,hp,정확일치,1
Number of Congestive Heart Failures (CHFs) Since to Baseline,파생변수,관련(광의),SNOMED:42343007,Congestive heart failure,snomed,정확일치,1
Number of Procedures Related to Heart Attack Prior to Baseline,파생변수,관련(광의),SNOMED:15256002,Transmyocardial revascularization by laser technique (procedure),snomed,큐레이션질의-1순위,1
Number of Procedures Related to Heart Attack Since Baseline,파생변수,관련(광의),SNOMED:15256002,Transmyocardial revascularization by laser technique (procedure),snomed,큐레이션질의-1순위,1
Number of Revascularization Procedures Prior to Baseline,파생변수,관련(광의),SNOMED:15256002,Transmyocardial revascularization by laser technique (procedure),snomed,큐레이션질의-1순위,1
Number of Strokes Prior to Baseline,파생변수,관련(광의),SNOMED:230690007,Cerebrovascular accident,snomed,정확일치,1
Number of myocardial infarctions (MIs) Prior to Baseline,파생변수,관련(광의),MONDO:0005068,myocardial infarction,mondo,정확일치,1
Prevalent Atrial Fibrillation (AF) at SHHS Visit 1,파생변수,관련(광의),SNOMED:49436004,Atrial fibrillation,snomed,정확일치,1
Type of fatal stroke,파생변수,관련(광의),SNOMED:230690007,Cerebrovascular accident,snomed,정확일치,1
Vital status at last contact,파생변수,관련(광의),SNOMED:419620001,Death,snomed,정확일치,1
Doctor of Medicine (MD) Reported Angina,파생변수,관련(광의),HP:0001681,Angina pectoris,hp,정확일치,1
Doctor of Medicine (MD) Reported Coronary Angioplasty,파생변수,관련(광의),EFO:0003951,percutaneous transluminal coronary angioplasty,efo,정확일치,1
Doctor of Medicine (MD) Reported Heart Failure,파생변수,관련(광의),SNOMED:42343007,Congestive heart failure,snomed,정확일치,1
Doctor of Medicine (MD) Reported Other Heart Surgery,파생변수,관련(광의),SNOMED:408466002,Cardiac surgery,snomed,정확일치,1
Doctor of Medicine (MD) Reported Stroke,파생변수,관련(광의),SNOMED:230690007,Cerebrovascular accident,snomed,정확일치,1
Doctor of Medicine (MD) Reported coronary artery bypass graft (CABG),파생변수,관련(광의),SNOMED:232717009,Coronary artery bypass graft,snomed,정확일치,1
Doctor of Medicine (MD) Reported myocardial infarction (MI),파생변수,관련(광의),MONDO:0005068,myocardial infarction,mondo,정확일치,1
